"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190802-143835/dstat.csv 1 300",,,,"Date:","02 Aug 2019 14:38:36 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
"time","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl","recv","send"
02-08 14:38:36,1,0,1.363,1238482944,41373696,0,962011136,4.071,722.553,55434.211,28318.549,923.764,1020.098,2.344,0.385,96.320,0.952,0,0,0
02-08 14:38:37,0,0,1,1239982080,39858176,0,962011136,0,0,0,4096,2179,2222,2.083,0.521,97.396,0,0,108,180
02-08 14:38:38,0,0,1,1239982080,39858176,0,962011136,0,0,0,0,2034,1975,0.515,0.515,98.969,0,0,180,144
02-08 14:38:39,0,0,0,1239982080,39858176,0,962011136,0,0,0,32768,1828,1908,0.510,0,99.490,0,0,1032,1560
02-08 14:38:40,0,0,1,1239973888,39858176,0,962019328,0,0,0,0,1637,1795,0.532,0.532,98.936,0,0,0,0
02-08 14:38:41,0,0,1,1239973888,39858176,0,962019328,0,0,0,0,1774,1874,0.518,0,99.482,0,0,0,0
02-08 14:38:42,1,0,1,1239973888,39858176,0,962019328,0,0,0,32768,1514,1688,0,0,98.969,1.031,0,0,0
02-08 14:38:43,0,0,1,1239973888,39858176,0,962019328,0,0,0,0,486,650,0.508,0.508,98.985,0,0,862,1901
02-08 14:38:44,0,0,0,1239973888,39858176,0,962019328,0,0,0,0,344,548,1.493,0.498,98.010,0,0,0,0
02-08 14:38:45,0,0,1,1239973888,39858176,0,962019328,0,0,0,32768,503,774,0,0.513,99.487,0,0,0,0
02-08 14:38:46,1,0,1,1239941120,39890944,0,962019328,0,0,0,0,586,851,1.020,0,98.980,0,0,1876,2961
02-08 14:38:47,1,0,1,1240072192,39759872,0,962019328,0,0,0,0,690,844,1.026,1.538,97.436,0,0,13765,249412
02-08 14:38:48,0,0,1,1240072192,39759872,0,962019328,0,0,0,32768,506,717,0,0.508,99.492,0,0,0,0
02-08 14:38:49,0,0,0,1240072192,39759872,0,962019328,0,0,0,0,327,507,0.503,0.503,98.995,0,0,0,0
02-08 14:38:50,0,0,1,1240072192,39759872,0,962019328,0,0,0,0,413,595,1.010,0,98.990,0,0,0,0
02-08 14:38:51,0,0,1,1240072192,39759872,0,962019328,0,0,0,32768,577,797,0.508,0.508,98.985,0,0,0,0
02-08 14:38:52,0,0,1,1240072192,39759872,0,962019328,0,0,0,0,547,732,0.505,0.505,98.990,0,0,808,2727
02-08 14:38:53,0,0,1,1240199168,39632896,0,962019328,0,0,0,0,504,726,1.005,0.503,98.492,0,0,0,0
02-08 14:38:54,0,0,0,1240199168,39632896,0,962019328,0,0,0,32768,628,831,0,0.505,98.485,1.010,0,0,0
02-08 14:38:55,0,0,1,1240199168,39632896,0,962019328,0,0,0,0,443,642,0.508,0,99.492,0,0,0,0
02-08 14:38:56,0,0,1,1240199168,39632896,0,962019328,0,0,0,0,509,685,0.990,0.495,98.515,0,0,0,0
02-08 14:38:57,0,0,1,1240199168,39632896,0,962019328,0,0,0,32768,611,834,0.521,0,99.479,0,0,1032,3266
02-08 14:38:58,0,0,1,1240166400,39665664,0,962019328,0,0,0,0,551,762,0.503,1.005,98.492,0,0,90,58
02-08 14:38:59,0,0,0,1240166400,39665664,0,962019328,0,0,0,0,585,824,0,0,100,0,0,0,0
02-08 14:39:00,1,0,1,1240166400,39538688,0,962146304,0,0,0,32768,729,936,4.569,1.523,93.909,0,0,0,0
02-08 14:39:01,0,0,1,1240207360,39411712,0,962232320,0,0,0,0,761,928,3.046,1.015,95.939,0,0,0,0
02-08 14:39:02,0,0,1,1240207360,39411712,0,962232320,0,0,0,24064,692,903,1.031,1.031,97.938,0,0,862,3635
02-08 14:39:03,0,0,1,1240207360,39411712,0,962232320,0,0,0,36864,619,827,1.010,0,98.990,0,0,0,0
02-08 14:39:04,0,0,0,1240207360,39411712,0,962232320,0,0,0,0,394,600,0.505,0.505,98.990,0,0,0,0
02-08 14:39:05,0,0,1,1240207360,39411712,0,962232320,0,0,0,0,451,639,1,0,99,0,0,0,0
02-08 14:39:06,0,0,1,1240207360,39411712,0,962232320,0,0,0,32768,1015,1143,0.510,0.510,98.980,0,0,0,0
02-08 14:39:07,0,0,1,1240207360,39411712,0,962232320,0,0,0,0,1951,1939,0.521,0,99.479,0,0,1086,4230
02-08 14:39:08,1,0,1,1240174592,39444480,0,962232320,0,0,0,0,2062,1983,0,0,100,0,0,0,0
02-08 14:39:09,0,0,0,1240174592,39444480,0,962232320,0,0,0,32768,2029,1988,0.513,0.513,98.974,0,0,0,0
02-08 14:39:10,0,0,1,1240174592,39444480,0,962232320,0,0,0,0,1937,1956,0.521,0,99.479,0,0,90,58
02-08 14:39:11,0,0,1,1240174592,39444480,0,962232320,0,0,0,0,1974,1957,0,0.515,99.485,0,0,0,0
02-08 14:39:12,0,0,1,1240301568,39317504,0,962232320,0,0,0,32768,1860,1948,0.518,0,98.964,0.518,0,862,4597
02-08 14:39:13,1,0,1,1240301568,39317504,0,962232320,0,0,0,221184,1899,1951,1.031,0,98.969,0,0,0,0
02-08 14:39:14,0,0,0,1240301568,39317504,0,962232320,0,0,0,0,1899,1937,0.515,0.515,98.969,0,0,0,0
02-08 14:39:15,0,0,1,1240301568,39317504,0,962232320,0,0,0,32768,1877,1932,0,0,100,0,0,0,0
02-08 14:39:16,0,0,1,1240301568,39317504,0,962232320,0,0,0,0,2028,1963,0.518,0,99.482,0,0,0,0
02-08 14:39:17,0,0,1,1240301568,39317504,0,962232320,0,0,0,0,2016,1948,0.518,0,99.482,0,0,1194,5306
02-08 14:39:18,0,0,1,1240268800,39350272,0,962232320,0,0,0,32768,1635,1643,0.510,0.510,98.980,0,0,0,0
02-08 14:39:19,0,0,0,1240268800,39350272,0,962232320,0,0,0,0,459,648,0,0,100,0,0,0,0
02-08 14:39:20,0,0,1,1240268800,39350272,0,962232320,0,0,0,0,485,684,0.503,0,99.497,0,0,0,0
02-08 14:39:21,0,0,1,1240260608,39350272,0,962240512,0,0,0,32768,528,713,1.508,0.503,97.487,0.503,0,0,0
02-08 14:39:22,0,0,1,1240227840,39383040,0,962240512,0,0,0,0,965,1065,0.518,0,99.482,0,0,970,5627
02-08 14:39:23,0,0,1,1240227840,39383040,0,962240512,0,0,0,0,1709,1898,0.518,0.518,98.964,0,0,0,0
02-08 14:39:24,0,0,0,1240227840,39383040,0,962240512,0,0,0,32768,1734,1900,0.524,0,99.476,0,0,0,0
02-08 14:39:25,0,0,1,1240227840,39383040,0,962240512,0,0,0,0,1547,1741,0.518,0,99.482,0,0,0,0
02-08 14:39:26,0,0,1,1240227840,39383040,0,962240512,0,0,0,0,1598,1627,0.510,0.510,98.980,0,0,0,0
02-08 14:39:27,0,0,1,1240227840,39383040,0,962240512,0,0,0,32768,673,847,1.020,0,98.980,0,0,1194,6221
02-08 14:39:28,0,0,1,1240354816,39256064,0,962240512,0,0,0,0,649,834,0.505,0.505,98.990,0,0,0,0
02-08 14:39:29,0,0,0,1240354816,39256064,0,962240512,0,0,0,0,513,694,0.510,0,99.490,0,0,0,0
02-08 14:39:30,0,0,1,1240354816,39256064,0,962240512,0,0,0,32768,888,1041,0.510,0,99.490,0,0,0,0
02-08 14:39:31,0,0,1,1240346624,39256064,0,962248704,0,0,0,0,1899,1931,0.515,0,99.485,0,0,0,0
02-08 14:39:32,1,0,1,1240510464,39092224,0,962248704,0,0,0,305664,1897,2090,1.562,0.521,96.875,1.042,0,970,6540
02-08 14:39:33,0,0,1,1240510464,39092224,0,962248704,0,0,0,32768,2017,1994,0,0,100,0,0,0,0
02-08 14:39:34,0,0,0,1240510464,39092224,0,962248704,0,0,0,0,2054,2195,0.518,0.518,98.964,0,0,1278,2006
02-08 14:39:35,1,0,1,1240477696,39124992,0,962248704,0,0,0,0,2082,1948,11.856,0.515,87.629,0,0,252,270
02-08 14:39:36,1,0,1,1240477696,39124992,0,962248704,0,0,0,32768,2474,1719,50.769,0.513,48.718,0,0,0,0
02-08 14:39:37,1,0,1,1240477696,39124992,0,962248704,0,0,0,0,2135,1609,47.191,0.562,52.247,0,0,1194,7197
02-08 14:39:38,3,0,1,1240444928,39157760,0,962248704,0,0,0,0,2254,1767,50.777,0.518,48.705,0,0,180,112
02-08 14:39:39,1,0,0,1240444928,39157760,0,962248704,0,0,0,32768,1875,1601,46.512,0,52.907,0.581,0,0,0
02-08 14:39:40,1,0,1,1240436736,39157760,0,962256896,0,0,0,0,1683,1663,45.652,1.087,53.261,0,0,0,0
02-08 14:39:41,1,0,1,1240436736,39157760,0,962256896,0,0,0,0,2290,1850,51.031,0.515,48.454,0,0,0,0
02-08 14:39:42,1,0,1,1240436736,39157760,0,962256896,0,0,0,32768,2263,1857,50,0.532,49.468,0,0,1024,7612
02-08 14:39:43,1,0,1,1240436736,39157760,0,962256896,0,0,0,0,1829,1709,46.524,1.070,52.406,0,0,0,0
02-08 14:39:44,1,0,0,1240436736,39157760,0,962256896,0,0,0,0,2251,1868,50,0.526,49.474,0,0,0,0
02-08 14:39:45,3,0,1,1240563712,39030784,0,962256896,0,0,0,32768,2109,1870,49.468,1.064,49.468,0,0,0,0
02-08 14:39:46,2,0,1,1240563712,39030784,0,962256896,0,0,0,0,1510,1523,42.941,0.588,56.471,0,0,0,0
02-08 14:39:47,1,0,1,1240563712,39030784,0,962256896,0,0,0,0,1661,1440,42.945,0.613,56.442,0,0,1248,8225
02-08 14:39:48,1,0,1,1240530944,39063552,0,962256896,0,0,0,32768,2091,1726,48.936,0.532,50.532,0,0,0,0
02-08 14:39:49,1,0,0,1240530944,39063552,0,962256896,0,0,0,0,2175,1804,49.215,0.524,50.262,0,0,0,0
02-08 14:39:50,1,0,1,1240530944,39063552,0,962256896,0,0,0,16384,2252,1846,50.777,0,49.223,0,0,0,0
02-08 14:39:51,1,0,1,1240530944,39063552,0,962256896,0,0,0,32768,2102,1795,48.677,1.058,50.265,0,0,0,0
02-08 14:39:52,1,0,1,1240498176,39096320,0,962256896,0,0,0,4096,1730,1604,44.444,1.111,54.444,0,0,1024,8626
02-08 14:39:53,2,0,1,1240498176,39096320,0,962256896,0,0,0,0,1973,1680,47.283,0.543,52.174,0,0,0,0
02-08 14:39:54,1,0,0,1240498176,39096320,0,962256896,0,0,0,57344,1744,1629,45.402,0.575,54.023,0,0,0,0
02-08 14:39:55,1,0,1,1240498176,39096320,0,962256896,0,0,0,0,1592,1496,42.353,1.176,56.471,0,0,0,0
02-08 14:39:56,1,0,1,1240498176,39096320,0,962256896,0,0,0,0,2030,1730,48.634,0,51.366,0,0,0,0
02-08 14:39:57,1,0,1,1240498176,39096320,0,962256896,0,0,0,32768,1856,1582,45.665,1.156,53.179,0,0,1302,9292
02-08 14:39:58,1,0,1,1240498176,39096320,0,962256896,0,0,0,0,1127,1187,34.694,1.361,63.946,0,0,90,58
02-08 14:39:59,1,0,0,1240567808,38969344,0,962314240,0,0,0,516096,1678,1605,44.311,1.198,33.533,20.958,0,0,0
02-08 14:40:00,7,0,1,1240567808,38969344,0,962314240,0,0,0,32768,1441,1209,41.600,2.400,56,0,0,0,0
02-08 14:40:01,1,0,1,1240481792,38842368,0,962527232,0,0,0,0,1802,1416,51.079,2.158,46.763,0,0,0,0
02-08 14:40:02,1,0,8,1240698880,38621184,0,962535424,0,0,4096,20480,1078,1085,36,6.400,57.600,0,0,1078,9697
02-08 14:40:03,4,0,1,1240698880,38621184,0,962535424,0,0,0,0,1195,1293,36.842,0.658,62.500,0,0,0,0
02-08 14:40:04,1,0,0,1240698880,38621184,0,962535424,0,0,0,65536,1637,1263,42.208,1.299,56.494,0,0,0,0
02-08 14:40:05,3,0,1,1240698880,38621184,0,962535424,0,0,0,0,1117,1183,32.877,1.370,65.753,0,0,0,0
02-08 14:40:06,2,0,1,1240698880,38621184,0,962535424,0,0,0,0,1284,1238,38.462,0,61.538,0,0,0,0
02-08 14:40:07,1,0,1,1240895488,38424576,0,962535424,0,0,0,32768,1236,1177,34.965,1.399,63.636,0,0,1356,10457
02-08 14:40:08,1,0,1,1240895488,38424576,0,962535424,0,0,0,0,1467,1272,41.558,0.649,57.792,0,0,0,0
02-08 14:40:09,7,0,0,1240895488,38424576,0,962535424,0,0,0,0,1538,1175,40.909,0.649,58.442,0,0,0,0
02-08 14:40:10,1,0,1,1240887296,38424576,0,962543616,0,0,0,32768,1409,1127,40.426,1.418,58.156,0,0,90,58
02-08 14:40:11,1,0,1,1240887296,38424576,0,962543616,0,0,0,0,1410,1215,38.255,1.342,60.403,0,0,0,0
02-08 14:40:12,1,0,1,1240887296,38424576,0,962543616,0,0,0,0,1640,1410,40.506,1.266,58.228,0,0,1186,10822
02-08 14:40:13,1,0,1,1240887296,38424576,0,962543616,0,0,0,32768,1637,1232,41.935,0.645,56.774,0.645,0,0,0
02-08 14:40:14,1,0,0,1240887296,38424576,0,962543616,0,0,0,0,1800,1465,44.910,1.198,53.892,0,0,0,0
02-08 14:40:15,1,0,1,1240887296,38424576,0,962543616,0,0,0,0,2138,1704,49.724,0.552,49.724,0,0,0,0
02-08 14:40:16,2,0,1,1240887296,38424576,0,962543616,0,0,0,32768,2200,1734,50.270,0.541,49.189,0,0,0,0
02-08 14:40:17,1,0,1,1240854528,38457344,0,962543616,0,0,0,0,2076,1727,48.634,0.546,50.820,0,0,1356,11340
02-08 14:40:18,1,0,1,1240854528,38457344,0,962543616,0,0,0,0,2071,1780,48.936,1.064,50,0,0,0,0
02-08 14:40:19,1,0,0,1240854528,38457344,0,962543616,0,0,0,32768,2088,1777,49.198,0.535,50.267,0,0,0,0
02-08 14:40:20,1,0,1,1240854528,38457344,0,962543616,0,0,0,0,1996,1766,47.312,0.538,52.151,0,0,0,0
02-08 14:40:21,2,0,1,1240854528,38457344,0,962543616,0,0,0,0,1796,1716,46.774,1.075,52.151,0,0,0,0
02-08 14:40:22,6,0,1,1240821760,38490112,0,962543616,0,0,0,32768,1852,1746,46.067,0.562,53.371,0,0,1132,11788
02-08 14:40:23,1,0,1,1240821760,38490112,0,962543616,0,0,0,0,2114,1824,49.206,0.529,50.265,0,0,0,0
02-08 14:40:24,3,0,0,1240821760,38490112,0,962543616,0,0,0,0,1915,1749,47.283,0.543,52.174,0,0,0,0
02-08 14:40:25,1,0,1,1240821760,38490112,0,962543616,0,0,0,32768,1946,1744,48.128,0.535,51.337,0,0,0,0
02-08 14:40:26,1,0,1,1240821760,38490112,0,962543616,0,0,0,0,2039,1715,48.108,1.081,50.811,0,0,304,198
02-08 14:40:27,1,0,1,1240821760,38490112,0,962543616,0,0,0,0,2339,1599,46.512,0.581,52.907,0,0,1898,12874
02-08 14:40:28,1,0,1,1240788992,38522880,0,962543616,0,0,0,32768,2651,1687,50.521,0.521,48.958,0,0,0,0
02-08 14:40:29,2,0,0,1240788992,38522880,0,962543616,0,0,0,0,2584,1668,51.282,0.513,48.205,0,0,288,148
02-08 14:40:30,1,0,1,1240788992,38522880,0,962543616,0,0,0,0,2626,1624,51.042,0.521,48.438,0,0,0,0
02-08 14:40:31,2,0,1,1240780800,38522880,0,962551808,0,0,0,32768,2593,1613,51.282,0,48.718,0,0,0,0
