"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","orl7",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output html.20190805-144620/dstat.csv 1 900",,,,"Date:","05 Aug 2019 14:46:20 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
"time","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl","recv","send"
05-08 14:46:20,0,0,2.448,137011200,1178742784,3215360,437481472,0,0,48356.590,75925.891,221.133,126.906,3.044,1.908,94.640,0.408,0,0,0
05-08 14:46:21,0,0,1,138788864,1176940544,3215360,437481472,0,0,0,0,1037,518,24.615,1.538,73.846,0,0,887,1386
05-08 14:46:22,2,0,0,138788864,1176940544,3215360,437481472,0,0,0,0,804,215,27.979,0,72.021,0,0,0,0
05-08 14:46:23,2,0,1,138788864,1176940544,3215360,437481472,0,0,0,0,866,220,32.759,0.575,66.667,0,0,779,1434
05-08 14:46:25,0,0,1,138756096,1176973312,3215360,437481472,0,0,0,0,985,223,35.519,0.546,63.934,0,0,833,1543
05-08 14:46:25,0,0,1,138756096,1176973312,3215360,437481472,0,0,0,0,915,205,33.898,0.565,65.537,0,0,0,0
05-08 14:46:26,1,0,1,138948608,1176776704,3215360,437481472,0,0,0,0,892,266,28.497,0.518,70.984,0,0,779,1703
05-08 14:46:27,2,0,0,138948608,1176776704,3215360,437481472,0,0,0,0,833,155,37.333,0,62.667,0,0,869,1920
05-08 14:46:28,1,0,1,138915840,1176809472,3215360,437481472,0,0,0,0,847,171,37.580,0.637,61.783,0,0,0,0
05-08 14:46:29,0,0,1,138915840,1176809472,3215360,437481472,0,0,0,0,988,200,35.838,0.578,63.584,0,0,887,2129
05-08 14:46:31,3,0,1,138883072,1176842240,3215360,437481472,0,0,0,114688,861,200,32.222,0.556,67.222,0,0,833,2184
05-08 14:46:31,1,0,1,138883072,1176842240,3215360,437481472,0,0,0,0,939,208,34.054,0.541,65.405,0,0,0,0
05-08 14:46:32,2,0,0,138883072,1176842240,3215360,437481472,0,0,0,0,852,198,32.796,0.538,66.667,0,0,887,2402
05-08 14:46:33,0,0,1,138883072,1176842240,3215360,437481472,0,0,0,0,916,206,31.472,0.508,68.020,0,0,833,2457
05-08 14:46:34,2,0,1,138883072,1176842240,3215360,437481472,0,0,0,0,892,185,31.937,0.524,67.539,0,0,0,0
05-08 14:46:35,1,0,1,138850304,1176875008,3215360,437481472,0,0,0,0,840,242,30.052,0.518,69.430,0,0,887,2724
05-08 14:46:36,1,0,1,138850304,1176875008,3215360,437481472,0,0,0,0,902,226,32.461,0.524,67.016,0,0,833,2779
05-08 14:46:37,0,0,0,138850304,1176875008,3215360,437481472,0,0,0,0,853,191,31.122,0,68.878,0,0,0,0
05-08 14:46:38,1,0,1,138817536,1176907776,3215360,437481472,0,0,0,0,860,228,32.105,0,67.895,0,0,941,3096
05-08 14:46:39,1,0,1,138817536,1176907776,3215360,437481472,0,0,0,0,881,229,31.088,0.518,68.394,0,0,887,3147
05-08 14:46:40,0,0,1,138809344,1176907776,3215360,437489664,0,0,0,0,911,187,33.871,0.538,65.591,0,0,0,0
05-08 14:46:41,0,0,1,138776576,1176940544,3215360,437489664,0,0,0,0,885,226,29.082,0.510,70.408,0,0,923,3414
05-08 14:46:42,0,0,0,138776576,1176940544,3215360,437489664,0,0,0,0,973,214,31.472,0,68.528,0,0,833,3415
05-08 14:46:43,1,0,1,138776576,1176940544,3215360,437489664,0,0,0,0,876,210,30.769,0.513,68.718,0,0,0,0
05-08 14:46:44,1,0,1,138776576,1176940544,3215360,437489664,0,0,0,0,936,228,31.959,0.515,67.526,0,0,941,3678
05-08 14:46:45,1,0,1,138940416,1176776704,3215360,437489664,0,0,0,0,913,248,32.124,0.518,67.358,0,0,941,3787
05-08 14:46:46,0,0,1,138940416,1176776704,3215360,437489664,0,0,0,0,767,212,29.630,0,70.370,0,0,0,0
05-08 14:46:47,1,0,0,138907648,1176809472,3215360,437489664,0,0,0,0,923,238,33.862,0,66.138,0,0,977,4050
05-08 14:46:48,0,0,1,138907648,1176809472,3215360,437489664,0,0,0,17920,903,242,32.432,1.081,66.486,0,0,995,4155
05-08 14:46:49,0,0,1,138907648,1176809472,3215360,437489664,0,0,0,0,811,229,29.744,0,70.256,0,0,0,0
05-08 14:46:50,0,0,1,138993664,1176715264,3215360,437497856,0,0,0,0,919,222,33.514,0.541,65.946,0,0,833,4314
05-08 14:46:51,1,0,1,138993664,1176715264,3215360,437497856,0,0,0,0,970,242,35.484,0.538,63.978,0,0,941,4423
05-08 14:46:52,1,0,0,138993664,1176715264,3215360,437497856,0,0,0,0,873,197,30.052,0.518,69.430,0,0,0,0
05-08 14:46:53,0,0,1,138960896,1176748032,3215360,437497856,0,0,0,0,888,261,31.771,0,68.229,0,0,941,4744
05-08 14:46:54,0,0,1,138960896,1176748032,3215360,437497856,0,0,0,0,905,225,31.795,0.513,67.692,0,0,887,4687
05-08 14:46:55,1,0,1,138960896,1176748032,3215360,437497856,0,0,0,0,838,233,28.718,0.513,70.769,0,0,0,0
05-08 14:46:56,0,0,1,138928128,1176780800,3215360,437497856,0,0,0,0,973,235,31.250,0.521,68.229,0,0,995,5008
05-08 14:46:57,2,0,0,138928128,1176780800,3215360,437497856,0,0,0,0,935,237,34.211,0,65.789,0,0,941,5009
05-08 14:46:58,0,0,1,138928128,1176780800,3215360,437497856,0,0,0,0,840,215,29.381,0.515,70.103,0,0,0,0
05-08 14:46:59,1,0,1,138895360,1176813568,3215360,437497856,0,0,0,0,919,232,32.632,0,67.368,0,0,941,5272
