"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --time -v --net --output output.csv 1 30",,,,"Date:","02 Aug 2019 12:26:38 CST"
"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,"net/total",
"time","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl","recv","send"
02-08 12:26:38,0,0,1.907,1101619200,20078592,2211840,1108680704,0,0,92116.555,24458.704,673.425,754.425,1.257,0.400,97.114,1.229,0,0,0
02-08 12:26:39,0,0,1,1101815808,19877888,2211840,1108684800,0,0,0,0,1759,1746,0.513,0,99.487,0,0,54,90
02-08 12:26:40,0,0,0,1101807616,19894272,2211840,1108692992,0,0,0,32768,1729,1750,0,0.518,99.482,0,0,306,456
02-08 12:26:41,0,0,1,1101774848,19927040,2211840,1108692992,0,0,0,0,1915,1897,0,0,100,0,0,1296,2200
02-08 12:26:42,1,0,1,1101742080,19959808,2211840,1108692992,0,0,0,0,2200,1653,45.226,0.503,54.271,0,0,306,400
02-08 12:26:43,1,0,1,1101742080,19959808,2211840,1108692992,0,0,0,32768,1812,1485,47.312,0.538,52.151,0,0,54,90
02-08 12:26:44,1,0,1,1101742080,19959808,2211840,1108692992,0,0,0,0,1835,1453,47.895,0,52.105,0,0,108,212
02-08 12:26:45,1,0,0,1101742080,19959808,2211840,1108692992,0,0,0,0,1876,1468,47.895,0.526,51.579,0,0,54,114
02-08 12:26:46,1,0,1,1101742080,19959808,2211840,1108692992,0,0,0,32768,1876,1503,47.917,0.521,51.562,0,0,108,204
02-08 12:26:47,1,0,1,1101742080,19959808,2211840,1108692992,0,0,0,0,1949,1443,48.148,0.529,51.323,0,0,108,204
02-08 12:26:48,1,0,1,1100374016,21327872,2211840,1108692992,0,0,0,0,2356,1655,50.510,0,49.490,0,0,108,204
02-08 12:26:49,1,0,1,1100345344,21356544,2211840,1108692992,0,0,0,32768,1942,1521,47.895,0.526,51.579,0,0,108,204
02-08 12:26:50,2,0,0,1100337152,21356544,2211840,1108701184,0,0,0,0,2022,1559,48.691,0,51.309,0,0,108,204
02-08 12:26:51,1,0,1,1100464128,21229568,2211840,1108701184,0,0,0,0,2241,1672,49.744,0.513,49.744,0,0,342,380
02-08 12:26:52,1,0,1,1100431360,21262336,2211840,1108701184,0,0,0,32768,1967,1555,47.917,0.521,51.042,0.521,0,108,90
02-08 12:26:53,3,0,1,1100431360,21262336,2211840,1108701184,0,0,0,24576,1958,1515,48.168,0.524,51.309,0,0,108,302
02-08 12:26:54,1,0,1,1100431360,21262336,2211840,1108701184,0,0,0,0,2048,1605,50,0,50,0,0,108,204
02-08 12:26:55,1,0,0,1100431360,21262336,2211840,1108701184,0,0,0,32768,2561,1507,50.769,0.513,48.718,0,0,108,204
02-08 12:26:56,1,0,1,1100431360,21262336,2211840,1108701184,0,0,0,0,2484,1479,51.020,0,48.980,0,0,198,318
02-08 12:26:57,1,0,1,1100431360,21262336,2211840,1108701184,0,0,0,0,2074,1530,51,0,49,0,0,108,144
02-08 12:26:58,1,0,1,1100431360,21262336,2211840,1108701184,0,0,0,69632,2158,1539,48.421,0.526,51.053,0,0,108,204
02-08 12:26:59,0,0,1,1100431360,21262336,2211840,1108701184,0,0,0,0,737,745,11.616,0.505,87.879,0,0,360,552
02-08 12:27:00,0,0,0,1097072640,24436736,2211840,1108881408,0,0,0,0,337,480,3.483,1.493,95.025,0,0,54,90
02-08 12:27:01,2,0,1,1097039872,24469504,2211840,1108881408,0,0,0,32768,215,363,0.513,0,98.974,0.513,0,108,220
02-08 12:27:02,0,0,1,1097039872,24469504,2211840,1108881408,0,0,0,0,322,435,0.503,0,99.497,0,0,108,220
02-08 12:27:03,0,0,1,1097039872,24469504,2211840,1108881408,0,0,0,0,281,411,0.500,0.500,99,0,0,54,122
02-08 12:27:04,0,0,1,1097039872,24469504,2211840,1108881408,0,0,0,32768,216,358,1.508,0,98.492,0,0,54,114
02-08 12:27:05,0,0,0,1097039872,24469504,2211840,1108881408,0,0,0,0,89,205,0.505,0.505,98.990,0,0,54,114
02-08 12:27:06,0,0,1,1097039872,24469504,2211840,1108881408,0,0,0,0,117,243,0,0,100,0,0,108,212
02-08 12:27:07,1,0,5,1104703488,23105536,2211840,1102839808,0,0,16384,55808,526,569,6.533,3.518,84.925,5.025,0,54,114
